,Unnamed: 0,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mel1 mean,mel1 var,mel2 mean,mel2 var,mel3 mean,mel3 var,mel4 mean,mel4 var,mel5 mean,mel5 var
0,15844,66,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1699.47037142,107126.074481,3238.46855696,586827.193561,0.0986945100533,0.000692105552739,0.136340841651,0.00145692646038,23.462993857,19.298328466,-102.53797641,1930.91487704,135.764488927,364.99047202,-46.8599823011,225.455290738,32.7382966238,195.416333981,-11.1153103603,132.867162105,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
1,30396,94,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2804.36476679,808530.889613,6097.73573765,4091350.72869,0.128418725775,0.00352054566319,0.198305234313,0.00701455958188,19.3754277542,29.8564565687,-42.3604135152,2738.33708045,82.2409989349,894.799472633,-2.29121327231,386.895280546,19.9116930475,192.723771555,13.8405134235,120.194772128,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
2,19788,82,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2142.39776759,127425.94079,4631.12429597,970677.807005,0.105112191134,0.00064548524238,0.251721948385,0.00370555161498,20.8801610543,29.1010989356,-29.3202827442,1409.87127779,108.61386008,253.937187744,-25.5474462047,268.297085225,38.5115934031,150.994773229,-18.3070686044,204.397129748,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
3,10302,3,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1421.55701601,429146.82145,3042.04067496,2539677.35905,0.043062621124,0.000941718331137,0.150910794735,0.0039467937313,20.7393836569,18.796444447,-156.726570516,5364.17410595,130.634322012,733.989868946,-1.44496901075,407.624049515,36.2297623826,152.092298036,0.451127522256,244.779546922,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
4,20808,12,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1651.42475032,119874.847007,3661.16199582,1200755.38794,0.0636499212694,0.000470208270097,0.0374463759363,0.000274094520137,17.7222889027,20.7749618463,-253.3134854,2348.17682636,122.624571631,359.890986115,-5.59120367508,520.206612846,40.5823289101,97.773875881,-5.84868323022,66.0715864551,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
5,32912,68,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2956.15383882,520558.460612,6130.94527843,1209366.9645,0.162584029797,0.00554173177441,0.106683328748,0.00167937611695,23.0236658398,24.4337310039,-93.2913767502,1932.24106965,77.8458822014,451.814626354,-8.7942523679,385.36523049,42.0654335591,167.838079184,-11.2410741729,75.9760804035,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
6,748,22,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2059.12466646,243370.742305,4551.23444313,1253566.27505,0.0723954548207,0.00127421493664,0.182299867272,0.00216848147102,19.796005229,18.2797923027,-91.1900729815,3042.25728864,98.8749922158,469.527420145,-23.2200404083,330.246922612,46.8975349293,230.63484198,-6.86664482858,111.587310125,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
7,18428,42,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2302.57271989,205285.467187,5188.85094931,563919.12788,0.0978988765746,0.00182839077343,0.110971406102,0.00052966811927,22.5614882979,16.5634770962,-159.507567418,2446.14316457,69.7709332035,240.958466995,-4.38831744269,516.222139467,76.8835453253,111.133714707,3.92786842681,119.274567495,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
8,13192,88,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2592.09587291,305873.88155,4891.35889807,948892.788477,0.161820569889,0.0036501333152,0.0893288254738,0.00147240434308,20.0592106257,17.942323584,-118.09804629,4447.03662979,83.9822238312,716.285144485,-50.2689591213,331.174553204,46.0696597803,230.4456965,-17.6721576315,87.4824042381,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
9,28220,30,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3070.82477263,610398.296699,6653.95172829,2286061.08512,0.14871002907,0.00462061049209,0.203253626823,0.00636132946238,17.1420925657,24.6041475481,-18.2709764495,3350.20210592,72.3194150568,500.080248499,-4.78785368818,290.944179519,-0.321483279487,228.605608825,1.72038075454,108.97271257,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
